"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta047","0.47","-16.33394573035923","42.0","1.75","2.5","3.34","0.1077032961426901","3.3260112"
"theta047","0.47","-16.33394573035923","42.0","1.75","7.5","10.34","0.1077032961426901","10.407923"
"theta047","0.47","-16.33394573035923","42.0","1.75","12.5","11.05","0.1077032961426901","10.988753"
"theta047","0.47","-16.33394573035923","42.0","1.75","17.5","11.21","0.1077032961426901","11.221007"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","2.5","3.19","0.1077032961426901","3.315229"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","7.5","10.41","0.1077032961426901","10.38699"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","12.5","10.91","0.1077032961426901","10.983518"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","17.5","11.24","0.1077032961426901","11.218167"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","2.5","3.35","0.1077032961426901","3.3047183"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","7.5","10.36","0.1077032961426901","10.364989"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","12.5","10.98","0.1077032961426901","10.978208"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","17.5","11.20","0.1077032961426901","11.2153"
"theta047","0.47","-16.33394573035923","45.0","1.875","2.5","3.25","0.1077032961426901","3.2944655"
"theta047","0.47","-16.33394573035923","45.0","1.875","7.5","10.34","0.1077032961426901","10.341803"
"theta047","0.47","-16.33394573035923","45.0","1.875","12.5","10.94","0.1077032961426901","10.972823"
"theta047","0.47","-16.33394573035923","45.0","1.875","17.5","11.34","0.1077032961426901","11.212403"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","2.5","3.28","0.1077032961426901","3.284459"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","7.5","10.24","0.1077032961426901","10.3173"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","12.5","10.95","0.1077032961426901","10.9673605"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","17.5","11.28","0.1077032961426901","11.209479"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","2.5","3.15","0.1077032961426901","3.2746887"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","7.5","10.27","0.1077032961426901","10.291324"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","12.5","11.01","0.1077032961426901","10.96182"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","17.5","11.23","0.1077032961426901","11.206526"
"theta047","0.47","-16.33394573035923","48.0","2.0","2.5","3.30","0.1077032961426901","3.2651432"
"theta047","0.47","-16.33394573035923","48.0","2.0","7.5","10.24","0.1077032961426901","10.263686"
"theta047","0.47","-16.33394573035923","48.0","2.0","12.5","10.87","0.1077032961426901","10.956198"
"theta047","0.47","-16.33394573035923","48.0","2.0","17.5","11.24","0.1077032961426901","11.203544"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","2.5","3.18","0.1077032961426901","3.2558131"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","7.5","10.26","0.1077032961426901","10.23416"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","12.5","10.98","0.1077032961426901","10.950493"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","17.5","11.20","0.1077032961426901","11.200531"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","2.5","3.17","0.1077032961426901","3.24669"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","7.5","10.22","0.1077032961426901","10.202475"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","12.5","10.97","0.1077032961426901","10.944703"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","17.5","11.10","0.1077032961426901","11.197489"
"theta047","0.47","-16.33394573035923","51.0","2.125","2.5","3.16","0.1077032961426901","3.2377646"
"theta047","0.47","-16.33394573035923","51.0","2.125","7.5","10.24","0.1077032961426901","10.168287"
"theta047","0.47","-16.33394573035923","51.0","2.125","12.5","10.91","0.1077032961426901","10.938826"
"theta047","0.47","-16.33394573035923","51.0","2.125","17.5","11.07","0.1077032961426901","11.194417"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","2.5","3.13","0.1077032961426901","3.2290294"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","7.5","10.21","0.1077032961426901","10.13117"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","12.5","10.92","0.1077032961426901","10.932859"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","17.5","11.20","0.1077032961426901","11.191314"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","2.5","3.20","0.1077032961426901","3.2204776"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","7.5","10.10","0.1077032961426901","10.090579"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","12.5","10.90","0.1077032961426901","10.9268"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","17.5","11.21","0.1077032961426901","11.188179"
"theta047","0.47","-16.33394573035923","54.0","2.25","2.5","3.21","0.1077032961426901","3.2121007"
"theta047","0.47","-16.33394573035923","54.0","2.25","7.5","9.97","0.1077032961426901","10.045795"
"theta047","0.47","-16.33394573035923","54.0","2.25","12.5","10.99","0.1077032961426901","10.920647"
"theta047","0.47","-16.33394573035923","54.0","2.25","17.5","11.18","0.1077032961426901","11.185013"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","2.5","3.13","0.1077032961426901","3.2038937"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","7.5","10.03","0.1077032961426901","9.995853"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","12.5","10.89","0.1077032961426901","10.914395"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","17.5","11.15","0.1077032961426901","11.181815"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","2.5","3.13","0.1077032961426901","3.1958492"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","7.5","9.89","0.1077032961426901","9.939412"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","12.5","10.88","0.1077032961426901","10.908045"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","17.5","11.21","0.1077032961426901","11.178584"
"theta047","0.47","-16.33394573035923","57.0","2.375","2.5","3.27","0.1077032961426901","3.1879618"
"theta047","0.47","-16.33394573035923","57.0","2.375","7.5","9.98","0.1077032961426901","9.874527"
"theta047","0.47","-16.33394573035923","57.0","2.375","12.5","10.84","0.1077032961426901","10.901591"
"theta047","0.47","-16.33394573035923","57.0","2.375","17.5","11.10","0.1077032961426901","11.175321"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","2.5","3.07","0.1077032961426901","3.1802256"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","7.5","9.78","0.1077032961426901","9.798222"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","12.5","10.89","0.1077032961426901","10.895031"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","17.5","11.15","0.1077032961426901","11.172024"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","2.5","3.15","0.1077032961426901","3.1726365"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","7.5","9.66","0.1077032961426901","9.705598"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","12.5","10.84","0.1077032961426901","10.888363"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","17.5","11.14","0.1077032961426901","11.168694"
"theta047","0.47","-16.33394573035923","60.0","2.5","2.5","3.12","0.1077032961426901","3.1651883"
"theta047","0.47","-16.33394573035923","60.0","2.5","7.5","9.61","0.1077032961426901","9.587733"
"theta047","0.47","-16.33394573035923","60.0","2.5","12.5","10.88","0.1077032961426901","10.881581"
"theta047","0.47","-16.33394573035923","60.0","2.5","17.5","11.15","0.1077032961426901","11.165327"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","2.5","3.21","0.1077032961426901","3.1578763"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","7.5","9.48","0.1077032961426901","9.425471"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","12.5","10.89","0.1077032961426901","10.874685"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","17.5","11.16","0.1077032961426901","11.161927"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","2.5","3.07","0.1077032961426901","3.1506965"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","7.5","9.22","0.1077032961426901","9.16356"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","12.5","10.86","0.1077032961426901","10.867669"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","17.5","11.17","0.1077032961426901","11.158492"
"theta047","0.47","-16.33394573035923","63.0","2.625","2.5","3.05","0.1077032961426901","3.1436443"
"theta047","0.47","-16.33394573035923","63.0","2.625","7.5","8.45","0.1077032961426901","8.400801"
"theta047","0.47","-16.33394573035923","63.0","2.625","12.5","10.85","0.1077032961426901","10.86053"
"theta047","0.47","-16.33394573035923","63.0","2.625","17.5","11.22","0.1077032961426901","11.155021"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","2.5","3.06","0.1077032961426901","3.1367157"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","7.5","5.01","0.1077032961426901","5.020164"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","12.5","10.88","0.1077032961426901","10.853263"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","17.5","11.03","0.1077032961426901","11.151511"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","2.5","3.02","0.1077032961426901","3.1299071"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","7.5","4.71","0.1077032961426901","4.665557"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","12.5","10.79","0.1077032961426901","10.845864"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","17.5","11.16","0.1077032961426901","11.147967"
"theta047","0.47","-16.33394573035923","66.0","2.75","2.5","3.07","0.1077032961426901","3.1232147"
"theta047","0.47","-16.33394573035923","66.0","2.75","7.5","4.39","0.1077032961426901","4.4730253"
"theta047","0.47","-16.33394573035923","66.0","2.75","12.5","10.85","0.1077032961426901","10.83833"
"theta047","0.47","-16.33394573035923","66.0","2.75","17.5","11.14","0.1077032961426901","11.144383"
"theta047","0.47","-16.33394573035923","67.000008","2.791667","2.5","3.07","0.1077032961426901","3.116635"
