"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta020","0.2","-166.9363086307076","63.0","2.625","2.5","3.59","0.1077032961426901"
"theta020","0.2","-166.9363086307076","63.0","2.625","7.5","10.77","0.1077032961426901"
"theta020","0.2","-166.9363086307076","63.0","2.625","12.5","11.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","63.0","2.625","17.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","2.5","3.57","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","7.5","10.84","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.000008","2.666667","17.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","2.5","3.53","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","7.5","10.90","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","12.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","64.999992","2.708333","17.5","11.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","66.0","2.75","2.5","3.52","0.1077032961426901"
"theta020","0.2","-166.9363086307076","66.0","2.75","7.5","10.72","0.1077032961426901"
"theta020","0.2","-166.9363086307076","66.0","2.75","12.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","66.0","2.75","17.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.000008","2.791667","2.5","3.48","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.000008","2.791667","7.5","10.74","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.000008","2.791667","12.5","11.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.000008","2.791667","17.5","11.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.999992","2.833333","2.5","3.47","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.999992","2.833333","7.5","10.70","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.999992","2.833333","12.5","11.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","67.999992","2.833333","17.5","11.13","0.1077032961426901"
